Balance,BonusMiles,BonusTrans,DaysSinceEnroll,FlightMiles,FlightTrans
48296,31329,9,3061,500,1
10021,0,0,7879,0,0
49280,22370,16,3312,0,0
213539,2750,15,4751,0,0
125465,14750,9,7206,0,0
7698,0,0,1734,0,0
201259,40755,34,3398,0,0
350608,50988,26,3630,2643,5
146232,83783,19,3566,375,1
2080,0,0,4635,0,0
93971,62023,22,4580,450,3
20999,15914,13,6206,0,0
15832,8130,20,1698,500,1
207021,3600,4,5412,100,1
31504,7358,2,1022,0,0
27619,83726,68,1325,14050,46
63454,49068,13,5383,0,0
25634,0,0,5663,0,0
83217,3679,4,2447,0,0
172110,21382,23,5944,950,3
50848,0,0,1773,0,0
31319,7552,5,5912,0,0
35557,350,3,1135,0,0
13188,1500,3,1955,1500,3
11449,24415,11,5864,0,0
7535,18487,20,1678,0,0
112345,36640,14,1669,0,0
177232,14787,13,3137,0,0
11494,8425,15,5487,4700,11
37997,11073,5,2805,0,0
2701,5000,10,8002,0,0
31211,280,4,6330,100,1
43498,0,0,6759,0,0
66572,8048,14,6240,450,2
16962,0,0,2206,0,0
7630,220,3,3403,0,0
39956,0,0,3206,0,0
130748,65510,37,1545,6349,7
200963,6164,4,4782,150,1
225802,74340,16,8296,200,2
94896,38127,15,5602,500,1
5351,100,1,6450,0,0
43088,4000,1,7345,0,0
37833,48172,15,3551,500,1
147770,64517,31,1831,450,4
66015,26706,30,5790,2676,7
9396,860,5,3588,350,2
73159,358,4,3237,358,4
23529,500,1,8296,0,0
5110,0,0,2901,0,0
3919,500,1,1591,0,0
37162,0,0,6241,0,0
68963,37723,15,8296,0,0
137760,64949,13,2580,0,0
47764,23122,11,1872,400,1
178010,5500,4,2777,500,1
54950,30500,9,450,0,0
9430,11323,13,5756,0,0
3065,0,0,87,0,0
37569,3850,4,1597,250,1
455228,258,2,7141,258,2
35900,0,0,7304,0,0
89094,55865,13,2404,0,0
11875,3625,22,1408,0,0
43338,1000,4,4275,1000,4
47090,0,0,3726,0,0
21540,1188,9,4791,0,0
26367,19649,15,5874,0,0
38508,13523,13,3279,0,0
33554,27410,16,6428,350,1
