CTR,titleWords,adWords,depth,position,advCTR,queryCTR,queryCTRInPos
0,10,17,3,2,0.0136,0,0
0.0761,13,30,2,1,0.0373,0.0382,0.0581
0.0426,12,14,1,1,0.0254,0.0255,0.0323
0,5,19,3,2,0.0178,0.0035,0.0017
0.0068,11,17,2,2,0.0096,0.0294,0.0171
0,15,28,2,2,0.0307,0.0324,0.0137
0.0383,10,20,3,1,0.0283,0.0219,0.0353
0.0172,9,23,3,1,0.0054,0.0183,0.0208
0.1015,8,20,2,1,0.0153,0.0281,0.0562
0.0125,11,21,2,1,0.018,0.0216,0.0296
0.2949,11,23,2,1,0.1546,0.0428,0.0604
0.0128,9,23,3,2,0.0427,0.0593,0.0176
0,9,27,1,1,0.035,0.0036,0.0041
0.0169,7,17,2,1,0.0106,0.0182,0.0184
0.025,9,23,2,2,0.0256,0.0038,0.0031
0.0048,7,21,2,2,0.0568,0.0924,0.067
0.0056,13,25,2,1,0.0111,0.003,0.0034
0.0221,10,21,2,2,0.0221,0.0604,0.0288
0.0451,9,20,3,2,0.0427,0.0543,0.0173
0,12,27,3,2,0.0517,0.0367,0.0151
0,13,21,1,1,0.0218,0.0025,0.0025
0.0173,12,21,3,2,0.028,0.0275,0.0226
0.0116,6,16,2,2,0.0405,0.0238,0.0113
0.0312,7,14,1,1,0.0376,0.0188,0.0213
0.024,8,24,2,2,0.0431,0.0334,0.0173
0,12,25,3,3,0.0315,0.0428,0
0.0083,10,25,2,2,0.0346,0.0178,0.0081
0.0081,5,25,2,1,0.0298,0.0029,0.0065
0.0175,9,19,2,1,0.0182,0.0376,0.0464
0.0108,9,17,1,1,0.0268,0.0065,0.0071
0.0217,6,14,2,1,0.0273,0.0226,0.028
0.0545,12,20,1,1,0.0573,0.0603,0.0606
0.0079,12,25,2,2,0.0311,0.0357,0.0062
0.0086,11,25,1,1,0.0216,0.0168,0.0184
0.0305,8,24,2,2,0.0246,0.0738,0.0568
0.0859,11,26,2,1,0.049,0.0524,0.0655
0,10,26,2,1,0.0057,0.0033,0.0036
0.503,9,22,2,1,0.0412,0.041,0.0585
0.0433,10,18,2,2,0.0343,0.067,0.0523
0.0081,12,24,2,2,0.0149,0.018,0.0082
0,10,23,2,2,0.016,0.011,0.0088
0.01,15,24,2,2,0.024,0.0244,0.0061
0.084,9,25,2,1,0.0432,0.0579,0.07
0.0017,6,26,2,1,0.0112,0.0076,0.0112
0.0049,4,17,2,2,0.0248,0.0217,0.0103
0,12,16,2,1,0.0058,0.018,0.0234
0.0492,5,19,2,2,0.0388,0.0486,0.0376
0.0058,8,24,3,2,0.0427,0.0173,0.0114
0.0225,9,22,2,1,0.0414,0.0204,0.0289
0.1436,8,22,3,1,0.02,0.0906,0.131
0.0116,4,22,1,1,0.016,0.0079,0.0099
0.1567,10,24,2,1,0.0984,0.0801,0.1177
0.0025,5,17,1,1,0.0192,0.0059,0.0066
0.0536,8,20,2,1,0.0336,0.0252,0.0421
0.075,7,24,3,2,0.0425,0.0663,0.0648
0.2894,11,20,2,1,0.2254,0.0241,0.0901
0,4,25,1,1,0.1105,0.0136,0.0174
0.1622,7,27,3,2,0.0421,0.0366,0.0237
0.021,9,19,2,2,0.083,0.193,0.067
0.0116,14,24,2,1,0.0555,0.0068,0.0093
0.0096,15,27,3,2,0.0514,0.0794,0.0708
0.0326,11,23,2,2,0.0273,0.0444,0.0229
0.0335,6,23,3,2,0.0344,0.024,0.0224
0.0129,8,21,2,2,0.0426,0.0276,0.0131
0.1481,8,26,2,2,0.0544,0.1345,0.0305
0.0161,12,23,2,2,0.0141,0.0365,0.0242
0,9,24,2,2,0.0017,0.0023,6.00E-04
0.2439,4,14,2,2,0.0262,0.0563,0.0359
0.094,13,27,1,1,0.0795,0,0
0.005,6,19,1,1,0.0068,0.0103,0.0114
0.0517,9,20,1,1,0.0426,0.0289,0.0426
0.0311,7,15,2,1,0.0273,0.0436,0.0647
0,11,28,3,3,0.0153,0.0956,0.0056
0.0198,9,26,2,2,0.0402,0.0346,0.0151
0.0488,4,21,1,1,0.1936,0.0254,0.0406
0.0991,11,26,2,1,0.0469,0.0164,0.0253
0.0535,12,20,1,1,0.0556,0.0266,0.04
0.0093,6,24,2,1,0.0284,0.0061,0.0065
0.1176,6,10,3,1,0.0516,0.0676,0.1099
0.0143,12,28,2,2,0.0494,0.0245,0.0142
0.023,12,29,2,1,0.038,0.0342,0.0431
0.038,11,31,1,1,0.0276,0.0906,0.0915
0,12,25,2,1,0.0211,0.0261,0.0278
0.0672,9,20,2,1,0.0366,0.0213,0.0337
